fastq.file.sample.name	raw_snps_file.original.name	raw_snps.file.change.name	v2_kept	v2_newnames	v5.1_kept
NA	SE_PA_16_16	SE_PA_16_16	SE_PA_16_16	SE_PA_16_16	SE_PA_16_16
NA	SE_PA_16_17	SE_PA_16_17	SE_PA_16_17	SE_PA_16_17	SE_PA_16_17
NA	SE_PA_16_18	SE_PA_16_18	SE_PA_16_18	SE_PA_16_18	SE_PA_16_18
NA	SE_PA_16_19	SE_PA_16_19	SE_PA_16_19	SE_PA_16_19	SE_PA_16_19
NA	SE_PA_16_20	SE_PA_16_20	SE_PA_16_20	SE_PA_16_20	SE_PA_16_20
NA	SE_PA_16_21	SE_PA_16_21	SE_PA_16_21	SE_PA_16_21	SE_PA_16_21
NA	SE_PA_16_22	SE_PA_16_22	SE_PA_16_22	SE_PA_16_22	SE_PA_16_22
NA	SE_PA_16_23	SE_PA_16_23	SE_PA_16_23	SE_PA_16_23	SE_PA_16_23
NA	SE_PA_16_24	SE_PA_16_24	SE_PA_16_24	SE_PA_16_24	SE_PA_16_24
NA	SE_PA_16_25	SE_PA_16_25	SE_PA_16_25	SE_PA_16_25	SE_PA_16_25
